DATE,LEVEL,STATE_FIPS,COUNTY_FIPS,STATE_NAME,COUNTY_NAME,TOTAL_CASES,TOTAL_DEATHS,TOTAL_INFECTED_PER_K,TOTAL_DEATHS_PER_K,NEW_CASES,NEW_DEATHS,AVG_NEW_CASES,AVG_NEW_DEATHS,AVG_INFECTION_RATE,AVG_DEATH_RATE,LATEST_DATA_IND,POPULATION
2020-03-13,State,01,NA,Alabama,NA,6,0,0.001223694394561902,0,6,0,NA,NA,NA,NA,0,4903185
2020-03-14,State,01,NA,Alabama,NA,12,0,0.002447388789123804,0,6,0,NA,NA,NA,NA,0,4903185
2020-03-15,State,01,NA,Alabama,NA,23,0,0.0046908285124872915,0,11,0,NA,NA,NA,NA,0,4903185
2020-03-16,State,01,NA,Alabama,NA,29,0,0.005914522907049194,0,6,0,NA,NA,NA,NA,0,4903185
2020-03-17,State,01,NA,Alabama,NA,39,0,0.007954013564652364,0,10,0,NA,NA,NA,NA,0,4903185
2020-03-18,State,01,NA,Alabama,NA,51,0,0.010401402353776169,0,12,0,NA,NA,NA,NA,0,4903185
2020-03-19,State,01,NA,Alabama,NA,78,0,0.01590802712930473,0,27,0,11.142857142857142,0,14.285714285714285,0,0,4903185
2020-03-20,State,01,NA,Alabama,NA,106,0,0.021618600970593604,0,28,0,14.285714285714286,0,13.477088948787063,0,0,4903185
2020-03-21,State,01,NA,Alabama,NA,131,0,0.02671732761460153,0,25,0,17,0,12.977099236641221,0,0,4903185
2020-03-22,State,01,NA,Alabama,NA,157,0,0.03202000332436977,0,26,0,19.142857142857142,0,12.192902638762511,0,0,4903185
2020-03-23,State,01,NA,Alabama,NA,196,0,0.039974016889022135,0,39,0,23.857142857142858,0,12.17201166180758,0,0,4903185
2020-03-24,State,01,NA,Alabama,NA,242,0,0.04935567391399672,0,46,0,29,0,11.983471074380166,0,0,4903185
2020-03-25,State,01,NA,Alabama,NA,386,1,0.07872433938348238,2.0394906576031701e-4,144,1,47.857142857142854,0.14285714285714285,12.39822353811991,0.03700962250185048,0,4903185
2020-03-26,State,01,NA,Alabama,NA,538,3,0.10972459737905056,6.11847197280951e-4,152,2,65.71428571428571,0.42857142857142855,12.214551248008496,0.07966011683483802,0,4903185
2020-03-27,State,01,NA,Alabama,NA,639,4,0.13032345302084258,8.157962630412681e-4,101,1,76.14285714285714,0.5714285714285714,11.915940084954169,0.08942544153811759,0,4903185
2020-03-28,State,01,NA,Alabama,NA,720,4,0.14684332734742825,8.157962630412681e-4,81,0,84.14285714285714,0.5714285714285714,11.686507936507935,0.07936507936507936,0,4903185
2020-03-29,State,01,NA,Alabama,NA,830,5,0.16927772458106313,0.001019745328801585,110,1,96.14285714285714,0.7142857142857143,11.583476764199656,0.08605851979345955,0,4903185
2020-03-30,State,01,NA,Alabama,NA,947,11,0.19313976527502022,0.002243439723363487,117,6,107.28571428571429,1.5714285714285714,11.32900890028662,0.16593754714134862,1,4903185
2020-03-24,County,01,001,Alabama,Autauga,1,0,0.017899013764341585,0,1,0,NA,NA,NA,NA,0,55869
2020-03-25,County,01,001,Alabama,Autauga,4,0,0.07159605505736634,0,3,0,NA,NA,NA,NA,0,55869
2020-03-26,County,01,001,Alabama,Autauga,6,0,0.1073940825860495,0,2,0,NA,NA,NA,NA,0,55869
2020-03-27,County,01,001,Alabama,Autauga,6,0,0.1073940825860495,0,0,0,NA,NA,NA,NA,0,55869
2020-03-28,County,01,001,Alabama,Autauga,6,0,0.1073940825860495,0,0,0,NA,NA,NA,NA,0,55869
2020-03-29,County,01,001,Alabama,Autauga,6,0,0.1073940825860495,0,0,0,NA,NA,NA,NA,0,55869
2020-03-30,County,01,001,Alabama,Autauga,7,0,0.1252930963503911,0,1,0,1,0,14.285714285714286,0,1,55869
